R.FileName,Condition,BioReplicate,Order,Label
20250123_Tulum_NeatCSF-DD_Seq1,Condition1,33,1,Good
20250123_Tulum_NeatCSF-DD_Seq2,Condition1,39,2,Good
20250123_Tulum_1to2CSF-DD_Seq3,Condition2,13,3,Good
20250123_Tulum_1to2CSF-DD_Seq4,Condition2,16,4,Good
20250123_Tulum_NeatCSF-DD_Seq5,Condition1,45,5,Good
20250123_Tulum_NeatCSF-DD_Seq6,Condition1,46,6,Good
20250123_Tulum_1to2CSF-DD_Seq7,Condition2,17,7,Good
20250123_Tulum_NeatCSF-DD_Seq8,Condition1,47,8,Good
20250123_Tulum_1to2CSF-DD_Seq9,Condition2,18,9,Good
20250123_Tulum_NeatCSF-DD_Seq10,Condition1,34,10,Good
20250123_Tulum_NeatCSF-DD_Seq11,Condition1,35,11,Good
20250123_Tulum_1to2CSF-DD_Seq12,Condition2,3,12,Good
20250123_Tulum_1to2CSF-DD_Seq13,Condition2,4,13,Good
20250123_Tulum_1to2CSF-DD_Seq14,Condition2,5,14,Good
20250123_Tulum_NeatCSF-DD_Seq15,Condition1,36,15,Good
20250123_Tulum_NeatCSF-DD_Seq16,Condition1,37,16,Good
20250123_Tulum_1to2CSF-DD_Seq17,Condition2,6,17,Good
20250123_Tulum_NeatCSF-DD_Seq18,Condition1,38,18,Good
20250123_Tulum_1to2CSF-DD_Seq19,Condition2,7,19,Good
20250123_Tulum_NeatCSF-DD_Seq20,Condition1,40,20,Good
20250123_Tulum_1to2CSF-DD_Seq21,Condition2,8,21,Good
20250123_Tulum_NeatCSF-DD_Seq22,Condition1,41,22,Good
20250123_Tulum_NeatCSF-DD_Seq23,Condition1,42,23,Good
20250123_Tulum_1to2CSF-DD_Seq24,Condition2,9,24,Good
20250123_Tulum_1to2CSF-DD_Seq25,Condition2,10,25,Good
20250123_Tulum_NeatCSF-DD_Seq26,Condition1,43,26,Good
20250123_Tulum_NeatCSF-DD_Seq27,Condition1,44,27,Good
20250123_Tulum_1to2CSF-DD_Seq28,Condition2,11,28,Good
20250123_Tulum_1to2CSF-DD_Seq29,Condition2,12,29,Good
20250123_Tulum_1to2CSF-DD_Seq30,Condition2,14,30,Bad
20250123_Tulum_1to4CSF-DD_Seq31,Condition2,21,31,Bad
20250123_Tulum_1to2CSF-DD_Seq32,Condition1,15,32,Bad
20250123_Tulum_1to8CSF-DD_Seq33,Condition2,24,33,Bad
20250123_Tulum_1to4CSF-DD_Seq34,Condition1,22,34,Bad
20250123_Tulum_1to16CSF-DD_Seq35,Condition2,1,35,Bad
20250123_Tulum_1to8CSF-DD_Seq36,Condition1,25,36,Bad
20250123_Tulum_1to32CSF-DD_Seq37,Condition2,19,37,Bad
20250123_Tulum_1to16CSF-DD_Seq38,Condition1,2,38,Bad
20250123_Tulum_1to64CSF-DD_Seq39,Condition2,23,39,Bad
20250123_Tulum_1to32CSF-DD_Seq40,Condition1,20,40,Bad
20250123_Tulum_Blank1,Blank,26,41,Blank
20250123_Tulum_Blank2,Blank,27,42,Blank
20250123_Tulum_Blank3,Blank,28,43,Blank
20250123_Tulum_Blank4,Blank,29,44,Blank
20250123_Tulum_Blank4_20250126235912,Blank,30,45,Blank
20250123_Tulum_Blank5,Blank,31,46,Blank
20250123_Tulum_Blank5_20250127005052,Blank,32,47,Blank