csffolder,dataset,normalization,package
CSF_Spectronaut,all_data,log2,MSstats
CSF_Spectronaut,all_data,log2,MSstats+
CSF_Spectronaut,all_data,log2,MaxLFQ_limma
CSF_Spectronaut,all_data,log2,DEqMS
CSF_Spectronaut,all_data,log2,msqrob2
CSF_Spectronaut,all_data,log2,prolfqua
CSF_Spectronaut,all_data,log2,limpa
CSF_Spectronaut,all_data,median,MSstats
CSF_Spectronaut,all_data,median,MSstats+
CSF_Spectronaut,all_data,median,MaxLFQ_limma
CSF_Spectronaut,all_data,median,DEqMS
CSF_Spectronaut,all_data,median,msqrob2
CSF_Spectronaut,all_data,median,prolfqua
CSF_Spectronaut,all_data,median,limpa
CSF_Spectronaut,all_data,quantile,MSstats
CSF_Spectronaut,all_data,quantile,MSstats+
CSF_Spectronaut,all_data,quantile,MaxLFQ_limma
CSF_Spectronaut,all_data,quantile,DEqMS
CSF_Spectronaut,all_data,quantile,msqrob2
CSF_Spectronaut,all_data,quantile,prolfqua
CSF_Spectronaut,all_data,quantile,limpa
CSF_Spectronaut,good_data,log2,MSstats
CSF_Spectronaut,good_data,log2,MSstats+
CSF_Spectronaut,good_data,log2,MaxLFQ_limma
CSF_Spectronaut,good_data,log2,DEqMS
CSF_Spectronaut,good_data,log2,msqrob2
CSF_Spectronaut,good_data,log2,prolfqua
CSF_Spectronaut,good_data,log2,limpa
CSF_Spectronaut,good_data,median,MSstats
CSF_Spectronaut,good_data,median,MSstats+
CSF_Spectronaut,good_data,median,MaxLFQ_limma
CSF_Spectronaut,good_data,median,DEqMS
CSF_Spectronaut,good_data,median,msqrob2
CSF_Spectronaut,good_data,median,prolfqua
CSF_Spectronaut,good_data,median,limpa
CSF_Spectronaut,good_data,quantile,MSstats
CSF_Spectronaut,good_data,quantile,MSstats+
CSF_Spectronaut,good_data,quantile,MaxLFQ_limma
CSF_Spectronaut,good_data,quantile,DEqMS
CSF_Spectronaut,good_data,quantile,msqrob2
CSF_Spectronaut,good_data,quantile,prolfqua
CSF_Spectronaut,good_data,quantile,limpa
CSF_Spectronaut_protein_swap,all_data,log2,MSstats
CSF_Spectronaut_protein_swap,all_data,log2,MSstats+
CSF_Spectronaut_protein_swap,all_data,log2,MaxLFQ_limma
CSF_Spectronaut_protein_swap,all_data,log2,DEqMS
CSF_Spectronaut_protein_swap,all_data,log2,msqrob2
CSF_Spectronaut_protein_swap,all_data,log2,prolfqua
CSF_Spectronaut_protein_swap,all_data,log2,limpa
CSF_Spectronaut_protein_swap,all_data,median,MSstats
CSF_Spectronaut_protein_swap,all_data,median,MSstats+
CSF_Spectronaut_protein_swap,all_data,median,MaxLFQ_limma
CSF_Spectronaut_protein_swap,all_data,median,DEqMS
CSF_Spectronaut_protein_swap,all_data,median,msqrob2
CSF_Spectronaut_protein_swap,all_data,median,prolfqua
CSF_Spectronaut_protein_swap,all_data,median,limpa
CSF_Spectronaut_protein_swap,all_data,quantile,MSstats
CSF_Spectronaut_protein_swap,all_data,quantile,MSstats+
CSF_Spectronaut_protein_swap,all_data,quantile,MaxLFQ_limma
CSF_Spectronaut_protein_swap,all_data,quantile,DEqMS
CSF_Spectronaut_protein_swap,all_data,quantile,msqrob2
CSF_Spectronaut_protein_swap,all_data,quantile,prolfqua
CSF_Spectronaut_protein_swap,all_data,quantile,limpa
CSF_Spectronaut_protein_swap,good_data,log2,MSstats
CSF_Spectronaut_protein_swap,good_data,log2,MSstats+
CSF_Spectronaut_protein_swap,good_data,log2,MaxLFQ_limma
CSF_Spectronaut_protein_swap,good_data,log2,DEqMS
CSF_Spectronaut_protein_swap,good_data,log2,msqrob2
CSF_Spectronaut_protein_swap,good_data,log2,prolfqua
CSF_Spectronaut_protein_swap,good_data,log2,limpa
CSF_Spectronaut_protein_swap,good_data,median,MSstats
CSF_Spectronaut_protein_swap,good_data,median,MSstats+
CSF_Spectronaut_protein_swap,good_data,median,MaxLFQ_limma
CSF_Spectronaut_protein_swap,good_data,median,DEqMS
CSF_Spectronaut_protein_swap,good_data,median,msqrob2
CSF_Spectronaut_protein_swap,good_data,median,prolfqua
CSF_Spectronaut_protein_swap,good_data,median,limpa
CSF_Spectronaut_protein_swap,good_data,quantile,MSstats
CSF_Spectronaut_protein_swap,good_data,quantile,MSstats+
CSF_Spectronaut_protein_swap,good_data,quantile,MaxLFQ_limma
CSF_Spectronaut_protein_swap,good_data,quantile,DEqMS
CSF_Spectronaut_protein_swap,good_data,quantile,msqrob2
CSF_Spectronaut_protein_swap,good_data,quantile,prolfqua
CSF_Spectronaut_protein_swap,good_data,quantile,limpa
CSF_Spectronaut_protein_swap,small,log2,MSstats
CSF_Spectronaut_protein_swap,small,log2,MSstats+
CSF_Spectronaut_protein_swap,small,log2,MaxLFQ_limma
CSF_Spectronaut_protein_swap,small,log2,DEqMS
CSF_Spectronaut_protein_swap,small,log2,msqrob2
CSF_Spectronaut_protein_swap,small,log2,prolfqua
CSF_Spectronaut_protein_swap,small,log2,limpa
CSF_Spectronaut_protein_swap,small,median,MSstats
CSF_Spectronaut_protein_swap,small,median,MSstats+
CSF_Spectronaut_protein_swap,small,median,MaxLFQ_limma
CSF_Spectronaut_protein_swap,small,median,DEqMS
CSF_Spectronaut_protein_swap,small,median,msqrob2
CSF_Spectronaut_protein_swap,small,median,prolfqua
CSF_Spectronaut_protein_swap,small,median,limpa
CSF_Spectronaut_protein_swap,small,quantile,MSstats
CSF_Spectronaut_protein_swap,small,quantile,MSstats+
CSF_Spectronaut_protein_swap,small,quantile,MaxLFQ_limma
CSF_Spectronaut_protein_swap,small,quantile,DEqMS
CSF_Spectronaut_protein_swap,small,quantile,msqrob2
CSF_Spectronaut_protein_swap,small,quantile,prolfqua
CSF_Spectronaut_protein_swap,small,quantile,limpa
CSF_Spectronaut_protein_swap,small_good_data,log2,MSstats
CSF_Spectronaut_protein_swap,small_good_data,log2,MSstats+
CSF_Spectronaut_protein_swap,small_good_data,log2,MaxLFQ_limma
CSF_Spectronaut_protein_swap,small_good_data,log2,DEqMS
CSF_Spectronaut_protein_swap,small_good_data,log2,msqrob2
CSF_Spectronaut_protein_swap,small_good_data,log2,prolfqua
CSF_Spectronaut_protein_swap,small_good_data,log2,limpa
CSF_Spectronaut_protein_swap,small_good_data,median,MSstats
CSF_Spectronaut_protein_swap,small_good_data,median,MSstats+
CSF_Spectronaut_protein_swap,small_good_data,median,MaxLFQ_limma
CSF_Spectronaut_protein_swap,small_good_data,median,DEqMS
CSF_Spectronaut_protein_swap,small_good_data,median,msqrob2
CSF_Spectronaut_protein_swap,small_good_data,median,prolfqua
CSF_Spectronaut_protein_swap,small_good_data,median,limpa
CSF_Spectronaut_protein_swap,small_good_data,quantile,MSstats
CSF_Spectronaut_protein_swap,small_good_data,quantile,MSstats+
CSF_Spectronaut_protein_swap,small_good_data,quantile,MaxLFQ_limma
CSF_Spectronaut_protein_swap,small_good_data,quantile,DEqMS
CSF_Spectronaut_protein_swap,small_good_data,quantile,msqrob2
CSF_Spectronaut_protein_swap,small_good_data,quantile,prolfqua
CSF_Spectronaut_protein_swap,small_good_data,quantile,limpa
CSF_Spectronaut_sample_swap,all_data,log2,MSstats
CSF_Spectronaut_sample_swap,all_data,log2,MSstats+
CSF_Spectronaut_sample_swap,all_data,log2,MaxLFQ_limma
CSF_Spectronaut_sample_swap,all_data,log2,DEqMS
CSF_Spectronaut_sample_swap,all_data,log2,msqrob2
CSF_Spectronaut_sample_swap,all_data,log2,prolfqua
CSF_Spectronaut_sample_swap,all_data,log2,limpa
CSF_Spectronaut_sample_swap,all_data,median,MSstats
CSF_Spectronaut_sample_swap,all_data,median,MSstats+
CSF_Spectronaut_sample_swap,all_data,median,MaxLFQ_limma
CSF_Spectronaut_sample_swap,all_data,median,DEqMS
CSF_Spectronaut_sample_swap,all_data,median,msqrob2
CSF_Spectronaut_sample_swap,all_data,median,prolfqua
CSF_Spectronaut_sample_swap,all_data,median,limpa
CSF_Spectronaut_sample_swap,all_data,quantile,MSstats
CSF_Spectronaut_sample_swap,all_data,quantile,MSstats+
CSF_Spectronaut_sample_swap,all_data,quantile,MaxLFQ_limma
CSF_Spectronaut_sample_swap,all_data,quantile,DEqMS
CSF_Spectronaut_sample_swap,all_data,quantile,msqrob2
CSF_Spectronaut_sample_swap,all_data,quantile,prolfqua
CSF_Spectronaut_sample_swap,all_data,quantile,limpa
CSF_Spectronaut_sample_swap,good_data,log2,MSstats
CSF_Spectronaut_sample_swap,good_data,log2,MSstats+
CSF_Spectronaut_sample_swap,good_data,log2,MaxLFQ_limma
CSF_Spectronaut_sample_swap,good_data,log2,DEqMS
CSF_Spectronaut_sample_swap,good_data,log2,msqrob2
CSF_Spectronaut_sample_swap,good_data,log2,prolfqua
CSF_Spectronaut_sample_swap,good_data,log2,limpa
CSF_Spectronaut_sample_swap,good_data,median,MSstats
CSF_Spectronaut_sample_swap,good_data,median,MSstats+
CSF_Spectronaut_sample_swap,good_data,median,MaxLFQ_limma
CSF_Spectronaut_sample_swap,good_data,median,DEqMS
CSF_Spectronaut_sample_swap,good_data,median,msqrob2
CSF_Spectronaut_sample_swap,good_data,median,prolfqua
CSF_Spectronaut_sample_swap,good_data,median,limpa
CSF_Spectronaut_sample_swap,good_data,quantile,MSstats
CSF_Spectronaut_sample_swap,good_data,quantile,MSstats+
CSF_Spectronaut_sample_swap,good_data,quantile,MaxLFQ_limma
CSF_Spectronaut_sample_swap,good_data,quantile,DEqMS
CSF_Spectronaut_sample_swap,good_data,quantile,msqrob2
CSF_Spectronaut_sample_swap,good_data,quantile,prolfqua
CSF_Spectronaut_sample_swap,good_data,quantile,limpa
CSF_Spectronaut_sample_swap,small_good_data,log2,MSstats
CSF_Spectronaut_sample_swap,small_good_data,log2,MSstats+
CSF_Spectronaut_sample_swap,small_good_data,log2,MaxLFQ_limma
CSF_Spectronaut_sample_swap,small_good_data,log2,DEqMS
CSF_Spectronaut_sample_swap,small_good_data,log2,msqrob2
CSF_Spectronaut_sample_swap,small_good_data,log2,prolfqua
CSF_Spectronaut_sample_swap,small_good_data,log2,limpa
CSF_Spectronaut_sample_swap,small_good_data,median,MSstats
CSF_Spectronaut_sample_swap,small_good_data,median,MSstats+
CSF_Spectronaut_sample_swap,small_good_data,median,MaxLFQ_limma
CSF_Spectronaut_sample_swap,small_good_data,median,DEqMS
CSF_Spectronaut_sample_swap,small_good_data,median,msqrob2
CSF_Spectronaut_sample_swap,small_good_data,median,prolfqua
CSF_Spectronaut_sample_swap,small_good_data,median,limpa
CSF_Spectronaut_sample_swap,small_good_data,quantile,MSstats
CSF_Spectronaut_sample_swap,small_good_data,quantile,MSstats+
CSF_Spectronaut_sample_swap,small_good_data,quantile,MaxLFQ_limma
CSF_Spectronaut_sample_swap,small_good_data,quantile,DEqMS
CSF_Spectronaut_sample_swap,small_good_data,quantile,msqrob2
CSF_Spectronaut_sample_swap,small_good_data,quantile,prolfqua
CSF_Spectronaut_sample_swap,small_good_data,quantile,limpa
Mix_of_Proteome,all_data,log2,MSstats
Mix_of_Proteome,all_data,log2,MSstats+
Mix_of_Proteome,all_data,log2,MaxLFQ_limma
Mix_of_Proteome,all_data,log2,DEqMS
Mix_of_Proteome,all_data,log2,msqrob2
Mix_of_Proteome,all_data,log2,prolfqua
Mix_of_Proteome,all_data,log2,limpa
Mix_of_Proteome,all_data,median,MSstats
Mix_of_Proteome,all_data,median,MSstats+
Mix_of_Proteome,all_data,median,MaxLFQ_limma
Mix_of_Proteome,all_data,median,DEqMS
Mix_of_Proteome,all_data,median,msqrob2
Mix_of_Proteome,all_data,median,prolfqua
Mix_of_Proteome,all_data,median,limpa
Mix_of_Proteome,all_data,quantile,MSstats
Mix_of_Proteome,all_data,quantile,MSstats+
Mix_of_Proteome,all_data,quantile,MaxLFQ_limma
Mix_of_Proteome,all_data,quantile,DEqMS
Mix_of_Proteome,all_data,quantile,msqrob2
Mix_of_Proteome,all_data,quantile,prolfqua
Mix_of_Proteome,all_data,quantile,limpa
